"company_pk","cosine_distance","text_raw"
1344811,"0.12020031448596902","The world's first Cloud Based Freight Reservation and Management Software."
1771092,"0.18732626362595906","Freight Funding LLC is a freight service-based factoring agency that pays freight bills and supports the growth of trucking firms."
3433615,"0.18920903591785954","Warehouse Management Software by DSA Software helps you save time and money, and increase inventory accuracy. As a public warehouse owner we know what is needed in Warehouse Management Software."
4833903,"0.19213969660634367","Super simple to use and fully featured mechanical Workshop Software. Turn your workshop into a streamlined profit machine. Free trial. No commitment. No lock-in contracts, ever. From the simplest shop to multi-branch operations, there is a solution for every auto shop. Find our amazing value pricing at https://workshopsoftware.com/get-started/ Direct integration with major accounting packages such as Xero, QuickBooks and MYOB, plus Automotive integrations such as Repco, Buron, HSY, Ashdown, COVs, Parts Authority, CarFax, PartsTech, Mitchell1 Pro Demand, TireMetrix, TireConnect VV Garage, MOTOR, DVLA Lookup, labor times and more. Sales & support locations in North America & Australia."
2365009,"0.1950529341352254","Rail Vision is the leading provider of obstacle detection & classification systems in the railway industry. With the company’s unique cognitive sensor fusion technology, based on advanced electro-optic sensors, artificial intelligence and deep learning, Rail Vision systems detect objects on and along the tracks from a distance of up to 2 kilometers – in real time, as well as in all weather and light conditions. When an obstacle is detected, the system sends visual and acoustic alerts in real-time to both the driver and the command-and-control center. Tailormade to meet every customer’s specific needs, the systems are available for Main Lines and Shunting Yards, as well as Light Rail Vehicles (LRVs) operating in urban environments. In addition, Rail Vision offers a range of optional complementary features based on collected and analyzed data: Image-based Navigation, GIS Mapping and Predictive Maintenance."
1340394,"0.19769799675011523","OnAsset Intelligence is the global leader in supply chain asset management. While most asset tracking technologies focus on tracking a vehicle, trailer, or container -- the proxy for what shippers care about -- OnAsset’s family of technologies work together to monitor individual items within a shipment. Our sustainable monitoring technologies are built to withstand the rigors of shipping, with the power to deliver insights on shipments across the globe, through all modes of transportation, on the dock, and in the warehouse. For additional information, visit www.onasset.com."
1735585,"0.20011342761196427","Xenolytic Data Solutions is a transportation software company based in Broken Arrow, OK. Our flagship products are the XenoComm Cloud Integration Platform and our all encompassing XenoComm Mobile driver facing application. We specialize in transportation software integrations and building complex workflows."
6168069,"0.20519283948029432","Barracuda Logistics is an exceptional asset-based truckload provider, utilizing a late model fleet. Whether we are running local, regional, or cross country you will get the same service from our professional and uniformed team. Your freight will be tracked by the latest technology thru fully integrated applications, including live tracking and 24/7 customer service. Safety and service are the founding pillars of our culture. This is the reason we are able to provide exceptional on time percentages while safely transporting your freight anywhere you need it to be."
1312161,"0.20551177164701584","Till connects brands and retailers to core producers using mobile. This enhanced supply chain data is available in real time. Till Re-Defines “Best-Available” Data. Till uses voice and text so you can reach across the street or around the world. Till is free for your supply chain partners. Till consumes data from your existing ERP supply chain systems to find data gaps…that we can fix with Till! 5-8% Margin Increase Fewer order re-routes to higher-cost facilities 5-15% Margin Increase Fewer last-minute airfreight shipments 3-6% Margin increase Reduced staff time to manage expediting 14-18% Penalty cost decrease Better service, fewer late shipments Screens are Out of Date, Phones are Up to Date! Till Products You can use Till to message smallholder farmers, factories, raw materials suppliers, and other supply chain partners. Till also uses data from the systems you already have. Here’s our product suite. Till Mobile Call or text core producers to get real-time supply chain data Till Agent Consume data from existing supply chain systems Till Engine Identify potential data gaps - e.g., a mismatch between demand and capacity Till Dashboard Actionable data to support better decisions"
6929632,"0.20826511333791464","CFS Logistics Group was started in 2016 to provide focused International and Domestic Forwarding Services as well as Truck Brokerage Services. In that time, we have experienced steady growth. Our commitment and policy towards growth and development remains unchanged. CFS Logistics Group is a privately-owned Texas company, yet we are able to provide total worldwide service with local flexibility and responsiveness. We have a history of commitment to ensure a quick and dependable transportation service to the exact destination, wherever it is. Our goals and strategy are to continuously offer immediate and professional solutions to fit your individual transportation needs. Our management team applies over 100 years of experience to the shipping industry, so you get the benefit of our experience. CFS Logistics Group will be the preferred supply chain partner to its customers. CFS Logistics Groups skilled and motivated employees will create value for customers through consistently superior delivery of innovative business solutions. CFS Logistics Group is firmly committed to ongoing Quality Service. Our team members are the most important assets. Our team provides each of our clients with professional personal service at a local level. As a FULL-SERVICE FREIGHT COMPANY, we are committed to ensure that your shipments arrive at their destination on time. We utilize our depth of resources and flexibility to customize services to meet your company’s general and specific requirements at each opportunity."
2182682,"0.2093571299697553","Dorabot develops automated warehouse solutions using cutting-edge AI and robotics, including computer vision, motion planning, mobility and deep learning, etc. Covering automation solutions such as induction, sorting, transportation and loading for logistics, express, e-commerce, seaports, airports, manufacturing and other scenarios. Our systems pick, place, load, sort, and transport items of various shapes and sizes using cutting-edge deep learning, motion planning, grasp planning, navigation, and SLAM technologies. Dorabot employs engineers and business professionals from over 10 different countries, and united by our boundless drive to create, learn, share, and grow."
2788226,"0.20970341754411848","Platform for sending packages nationwide with the best parcels in Mexico at the lowest possible cost. Quote, compare and generate the shipments of your online store, company or business. We are the Logistics Platform that will make your business grow!"
4560079,"0.21041376342445295","We provide services you can count on, with an outstanding record for on-time delivery, high safety standards, and outstanding customer service. We accommodate the ever-changing needs of our customers and the trucking industry. We recognize the need for cost-efficient services and are dedicated to delivering products in a manner that exceeds our competitors."
1353449,"0.2107341759959228","SHIPSTA’s Digital Freight Procurement Platform streamlines transportation procurement for global enterprises, taking a truly next-generation approach to freight procurement centered around data, automation & Artificial Intelligence. By automating complex tasks and providing complete data transparency, it helps businesses to respond every day to market volatility, control freight costs and manage risk in their supply chain. Designed and built by logistics experts, SHIPSTA is bringing transparency, automation, as well as cost & execution efficiency to the global supply chain industry. Its customer-centric approach ensures it is the most powerful and flexible platform for freight sourcing and procurement in the market. Winner of the 2022 World Procurement Awards for the Best Procurement Technology Provider, SHIPSTA is already leveraged by leading shippers such as PUMA, Holcim, Allnex, MBCC Group, Rockwool etc. to provide a higher execution power to their teams, achieve freight cost competitiveness and stay on top of the market. Privacy statement: SHIPSTA uses LinkedIn in order to promote its products, services, the brand and the image of SHIPSTA and its team through communication campaigns and for lead generation, nurturing purposes, based on our legitimate interest of developing our company. To have a better understanding regarding the personal data processing done by SHIPSTA and sometimes jointly with LinkedIn, please, refer to our privacy policy: https://www.shipsta.com/privacy-policy/#linkedin. In addition, please consult the LinkedIn’s Page Insights Joint Controller Addendum (https://legal.linkedin.com/pages-joint-controller-addendum) and in LinkedIn’s Privacy Policy (https://www.linkedin.com/legal/privacy-policy) to have better understanding regarding LinkedIn’s data processing practices."
